platform,date,type,caption,hashtags,cta,image_placeholder,status
Instagram,2026-06-01,single,"Il Mediterraneo non finisce mai. 🌊 Azimut Grande 27 — 30 metri di puro privilegio, da Portofino alle Eolie. Scopri come vivere il mare in modo diverso.","#theclass #yachtlife #mediterraneo #luxuryyacht #ultimateluxury #portofino #eolie","Link in bio → the-class-luxury.pages.dev/servizi",media/yacht-azimut-hero.jpg,draft
Instagram,2026-06-02,carousel,"Il tuo prossimo viaggio in jet privato: da Milano a Maldive in 10 ore. ✈️ [Slide 1] Partenza da Malpensa VIP Lounge [Slide 2] Cabina Gulfstream G700 [Slide 3] Arrivo private terminal Velana [Slide 4] Villa sull'acqua","#theclass #privatejet #jetprivato #maldive #luxurytravel #gulfstream","Richiedi il tuo preventivo. Link in bio.",media/jet-gulfstream-carousel.jpg,draft
Instagram,2026-06-03,reel,"60 secondi a bordo dello yacht più prenotato di the Class. Benvenuti sul Riva Aquarama 1973. 🥂 [video mockup]","#theclass #riva #rivaboat #yachtlife #italiandesign #lusso","Prenota ora. Link in bio.",media/riva-reel-cover.jpg,draft
Instagram,2026-06-04,single,"Roma, Milano, Capri — in Ferrari SF90. La nostra flotta auto include 47 modelli iconici. Con o senza autista.","#theclass #ferrari #ferrari #luxurycars #sf90 #autolusso #rent","Scopri la flotta. Link in bio.",media/ferrari-sf90-hero.jpg,draft
Instagram,2026-06-05,single,"Cosa trovi su the Class che non trovi altrove: il Concierge Collettivo. 👥 20 richieste urgenti, un team dedicato, risposta in 2 ore. Sempre.","#theclass #concierge #luxury #service #privé","Prova il concierge. Link in bio.",media/concierge-mockup.jpg,draft
Instagram,2026-06-08,carousel,"Le 6 innovazioni che nessun'altra piattaforma luxury offre: [1] Sorprendimi [2] Dream Mode [3] Climate Positive+ [4] Concierge Collettivo [5] Crowd Pricing [6] Heritage Mode","#theclass #innovation #luxurytechnology #fintech #luxury","Esplora il futuro del lusso. Link in bio.",media/innovations-carousel.jpg,draft
Instagram,2026-06-10,single,"Villa Maia, Amalfi. 8 camere, piscina a sfioro, chef stellato incluso. Disponibile dal 20 luglio.","#theclass #villalusso #amalficoast #costaamalfitana #exclusivevilla","Contatta il concierge. Link in bio.",media/villa-amalfi-hero.jpg,draft
Instagram,2026-06-12,reel,"Come funziona the Class in 30 secondi: cerca → scegli → prenota → goditi. [mockup reel UI walkthrough]","#theclass #howto #luxuryapp #tutorial #lifestyle","Download app in arrivo. Seguici per aggiornamenti.",media/app-walkthrough-reel.jpg,draft
LinkedIn,2026-06-01,article,"the Class lancia la prima piattaforma luxury italiana con Concierge Collettivo e Climate Positive+. Il lusso sostenibile non è più un ossimoro.","#theclass #luxury #innovation #startup #sustainability","Leggi il comunicato stampa completo. Link →",media/linkedin-launch-card.jpg,draft
LinkedIn,2026-06-05,post,"Cerchiamo Fleet Manager e Luxury Asset Owners per espandere il nostro portfolio di yacht, jet e ville. Contatta partnerships@theclass.it","#theclass #partnerships #yachtbroker #luxuryrealestate","Contatta partnerships@theclass.it",media/linkedin-partners.jpg,draft
TikTok,2026-06-01,reel,"Tour virtuale dello yacht più lussuoso disponibile oggi. [60s video mockup: exterior, salon, deck, cabin, sundeck]","#theclass #yachtlife #luxuryyacht #yacht #fyp #lussoselvaggio","Prenota il tuo weekend. Link in bio.",media/tiktok-yacht-tour.jpg,draft
TikTok,2026-06-03,reel,"Come funziona il Concierge Collettivo di the Class. [30s explainer animation mockup]","#theclass #concierge #luxury #lifehack #ricco #fyp","Prova gratis per 30 giorni.",media/tiktok-concierge-explainer.jpg,draft
TikTok,2026-06-07,reel,"Unboxing di un'esperienza the Class: cena segreta in palazzo veneziano. 🕯️ [45s vlog mockup]","#theclass #venezia #unboxing #experience #luxury #fyp","Richiedi la tua esperienza su misura.",media/tiktok-venezia-unboxing.jpg,draft
Twitter,2026-06-01,tweet,"Oggi nasce the Class — la prima piattaforma italiana per yacht, jet privati, auto e esperienze exclusive. Benvenuti nel privilegio. 🥂 the-class-luxury.pages.dev","#theclass #launch #luxury","Visita il sito",media/twitter-launch.jpg,draft
Twitter,2026-06-02,tweet,"Novità: il Concierge Collettivo di @theclassluxury ora gestisce 100+ richieste contemporaneamente. Risposta garantita in <2 ore. Provalo.","#theclass #concierge","Prova il concierge",media/twitter-concierge.jpg,draft
